geo,name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
lux,Luxembourg,,,,0.27504,1.30536,3.39746,7.96429,15.0635,20.9214,26.7933,29.2849,31.3376,33.1818,32.7339,31.9618,32.4834,33.5803,34.2911,34.8068,35.9768,36.8853,37.3611,37.2961,38.04,38.327,
lva,Latvia,,,0.01199,0.13835,0.43265,0.85335,2.17064,2.71321,4.94243,15.3836,18.9239,21.2281,20.7298,22.2056,23.4018,24.6397,25.3241,25.4569,26.4893,27.0886,27.2877,26.5859,25.8042,25.9762,25.9892,25.9948
mar,Morocco,,,,,0.00685,0.00917,0.21587,0.82066,1.27345,1.53066,1.56051,1.49701,1.55388,1.80845,2.06726,2.49778,2.90442,3.31584,3.58453,3.89001,4.33206,4.8365,5.74683,6.14618,6.4715,7.02184
mco,Monaco,,,2.46495,8.19182,15.1255,20.186,23.5429,29.4939,34.3139,38.6343,40.8343,41.404,41.6126,46.898,46.8382,47.6655,49.2693,49.9333,49.9356,51.1121,51.5909,53.7301,54.8673,54.9173,55.2285,55.8836
mda,Moldova,,,,0.0057,0.01009,0.01458,0.06002,0.26061,0.55573,1.37109,3.04873,5.06353,7.45475,10.0168,12.0173,13.7695,15.233,16.257,17.2155,18.2975,19.7584,21.5427,23.4269,25.2113,26.3178,27.4209
mdg,Madagascar,,,,,,,,,0.0069,0.01159,0.01667,0.02124,0.0243,0.03002,0.13245,0.15757,0.10028,0.09319,0.10109,0.09356,0.09897,0.10631,0.11052,0.10418,0.10749,0.12449
mdv,Maldives,,,,,0.06515,0.16965,0.23788,1.06387,1.99904,3.20668,4.56882,4.41605,4.31079,4.72016,4.6686,5.08686,4.79719,5.41277,6.61143,7.97186,10.018,10.9013,12.6833,14.8246,17.3997,18.7278
mex,Mexico,,,0.01521,0.04995,0.22796,0.41598,1.01278,1.81677,2.81575,4.14107,6.82463,8.60821,9.31394,10.0362,11.1946,10.7719,10.88,12.1892,13.0256,13.7767,14.7374,15.3885,17.7521,19.2797,20.2861,20.0882
mhl,Marshall Islands,,,,,,,,,,,,,,,,2.53349,2.75524,2.04918,2.09604,2.1492,2.20824,2.27237,2.34159,2.27718,2.35048,
mkd,North Macedonia,,,,,,,,0.59508,1.74633,4.82749,8.74102,11.2969,12.6123,13.7992,15.4034,16.8127,17.7239,18.4017,19.4534,20.4183,22.2929,23.9403,25.4041,26.9449,28.0036,29.1772
mli,Mali,,,,,,,,,0.02205,0.02213,0.03529,0.05341,0.05029,0.0515,0.02548,0.01666,,0.01882,0.11174,0.07773,0.59159,0.67647,1.12281,0.64834,0.77422,
mlt,Malta,,,0.41411,2.27343,4.3591,5.56946,9.16314,12.4381,12.7446,20.1301,23.4406,27.0098,29.7856,30.3037,31.8224,33.3783,34.882,36.6768,37.618,38.7513,39.5893,40.18,41.1094,42.1831,43.445,44.2825
mmr,Myanmar,,,,,,,,0.00051,0.00829,0.01344,0.02065,0.04776,0.04681,0.04431,,,,0.06444,0.17416,0.21499,0.24688,0.92296,1.29925,1.67276,2.09695,2.7983
mne,Montenegro,,,,,,,,1.2089,,2.81853,6.281,9.381,10.2304,10.2281,13.8536,15.117,16.4503,17.893,18.3978,22.1614,25.825,29.2285,30.2953,31.1809,31.8922,32.0155
